order_value_gbp,number_of_items,country_0,city_0,type_of_food_2,time_of_day,prep_time_seconds,0
21.4,2.0,1,0,1,1,820.0,1064.6487
24.0,8.0,1,0,1,3,603.0,921.3776
15.25,3.0,1,0,1,3,443.0,794.88025
28.05,8.0,1,0,1,3,669.0,961.54224
21.4,7.0,1,0,2,3,820.0,1089.3546
18.2,3.0,1,0,2,2,1049.0,891.92255
43.2,4.0,1,0,2,2,1468.0,1087.8597
35.8,4.0,1,0,2,2,1300.0,1030.3441
30.0,3.0,1,0,2,2,1254.0,978.91943
21.4,3.0,1,0,2,3,820.0,951.45886
16.0,3.0,1,0,2,3,1801.0,879.6747
21.4,3.0,1,0,2,3,2842.0,951.45886
21.4,3.0,1,0,2,3,820.0,951.45886
17.4,3.0,1,0,2,2,640.0,883.23517
20.6,3.0,1,0,2,0,1072.0,970.0082
25.4,3.0,1,0,2,2,644.0,965.32697
25.4,3.0,1,0,2,2,724.0,965.32697
18.2,3.0,1,0,2,2,860.0,891.92255
20.6,3.0,1,0,2,3,725.0,947.6976
17.8,3.0,1,0,2,0,857.0,868.77563
22.3,3.0,1,0,2,0,970.0,965.06714
20.6,3.0,1,0,2,2,532.0,946.58905
21.3,4.0,1,0,2,2,1528.0,950.7952
30.4,3.0,1,0,2,0,820.0,1026.5735
23.4,3.0,1,0,2,0,1446.0,972.5259
18.6,2.0,1,0,2,3,820.0,835.54126
22.4,3.0,1,0,2,0,820.0,965.06714
33.6,3.0,1,0,2,0,977.0,1029.9525
21.4,7.0,1,0,2,2,820.0,1089.8861
17.2,3.0,1,0,2,2,934.0,883.23517
25.4,3.0,1,0,2,0,994.0,979.5515
30.0,4.0,1,0,2,2,1751.0,978.91943
17.2,3.0,1,0,2,2,1212.0,883.23517
21.4,8.0,1,0,2,2,1346.0,1089.8861
24.1,3.0,1,0,2,2,1336.0,965.32697
21.6,2.0,1,0,2,0,983.0,896.80273
15.1,3.0,1,0,3,1,820.0,1176.6481
36.0,4.0,1,0,3,1,820.0,1224.365
22.0,4.0,1,0,3,1,820.0,1276.6101
25.0,3.0,1,0,3,3,1437.0,902.3191
36.75,5.0,1,0,3,0,875.0,950.9636
17.5,3.0,1,0,3,0,976.0,811.754
21.4,3.0,1,0,3,0,830.0,883.7358
15.0,2.0,1,0,3,3,1353.0,809.2614
38.35,6.0,1,0,3,3,2004.0,960.9291
21.4,3.0,1,0,3,1,820.0,1071.0625
27.98,2.0,1,0,3,3,1033.0,892.75916
17.75,3.0,1,0,3,0,790.0,811.754
21.4,6.0,1,0,3,1,820.0,1114.85
28.1,3.0,1,0,3,1,820.0,1291.1038
21.4,6.0,1,0,3,3,610.0,955.5965
17.75,3.0,1,0,3,3,1243.0,848.8231
21.4,3.0,1,0,3,3,327.0,905.2431
21.3,4.0,1,0,3,3,1576.0,905.2431
15.0,2.0,1,0,3,3,965.0,809.2614
16.35,3.0,1,0,3,3,1256.0,857.6852
41.75,7.0,1,0,3,3,1159.0,1061.416
24.85,3.0,1,0,3,3,853.0,902.3191
22.65,4.0,1,0,3,3,1191.0,905.6242
28.4,5.0,1,0,3,0,829.0,899.17615
23.34,4.0,1,0,3,3,682.0,908.13434
20.05,3.0,1,0,3,3,559.0,892.39716
21.5,2.0,1,0,3,3,814.0,842.7016
17.0,3.0,1,0,3,3,875.0,856.02435
22.85,3.0,1,0,3,1,820.0,1431.5963
29.75,3.0,1,0,3,1,820.0,1312.196
17.0,2.0,1,0,3,1,820.0,1279.0488
15.1,3.0,1,0,3,3,338.0,805.95483
15.25,4.0,1,0,3,3,1145.0,851.9603
16.0,2.0,1,0,3,1,2922.0,1278.3228
26.1,2.0,1,0,3,3,644.0,882.04614
21.8,3.0,1,0,3,3,876.0,899.02386
15.75,2.0,1,0,3,3,1881.0,836.30054
15.5,4.0,1,0,3,3,1394.0,858.6527
19.95,3.0,1,0,3,3,706.0,855.13007
39.5,3.0,1,0,3,1,820.0,1114.4164
19.6,5.0,1,0,3,0,809.0,821.8963
21.0,3.0,1,0,3,3,643.0,889.99585
26.85,3.0,1,0,3,3,2416.0,903.8843
29.55,3.0,1,0,3,3,1086.0,916.88226
15.0,3.0,1,0,3,3,885.0,830.9432
51.75,5.0,1,0,3,3,1928.0,1215.039
16.24,4.0,1,0,3,3,820.0,857.6852
16.5,2.0,1,0,3,3,588.0,836.61285
22.05,4.0,1,0,3,3,1801.0,899.02386
20.25,4.0,1,0,3,3,1624.0,892.39716
17.6,4.0,1,0,3,3,1063.0,848.8231
16.0,3.0,1,0,3,3,743.0,855.2984
29.65,5.0,1,0,3,3,1278.0,932.4258
33.75,5.0,1,0,3,3,730.0,969.017
21.4,3.0,1,0,3,3,820.0,905.2431
16.05,3.0,1,0,3,0,327.0,810.52576
49.25,5.0,1,0,3,1,820.0,1102.3656
19.05,2.0,1,0,3,3,998.0,827.98987
23.9,5.0,1,0,3,3,1325.0,932.6689
17.0,2.0,1,0,3,3,1257.0,837.0265
21.5,2.0,1,0,3,0,1035.0,834.05994
20.35,4.0,1,0,3,0,564.0,873.0229
17.25,3.0,1,0,3,0,1319.0,811.754
17.05,2.0,1,0,3,0,889.0,822.9736
15.1,3.0,1,0,3,1,2858.0,1176.6481
37.2,5.0,1,0,3,3,668.0,943.7435
15.75,2.0,1,0,3,1,820.0,1278.3228
16.5,2.0,1,0,3,1,2204.0,1278.6353
19.05,2.0,1,0,3,1,2083.0,1271.8474
15.0,2.0,1,0,3,3,504.0,809.2614
19.0,3.0,1,0,3,3,379.0,854.2927
21.4,2.0,1,0,3,3,841.0,839.836
15.2,2.0,1,0,3,3,820.0,822.31836
21.99,3.0,1,0,3,3,820.0,899.02386
43.5,3.0,1,0,3,1,820.0,1153.2463
22.3,3.0,1,0,3,1,820.0,1276.6101
15.75,3.0,1,0,3,3,675.0,855.2984
15.65,5.0,1,0,3,0,433.0,798.9846
20.7,3.0,1,0,3,3,562.0,897.6542
46.35,6.0,1,0,3,3,689.0,1023.2822
16.75,3.0,1,0,3,3,730.0,856.02435
15.1,3.0,1,0,3,3,1743.0,805.95483
23.65,5.0,1,0,3,3,1423.0,928.60394
16.5,2.0,1,0,3,0,890.0,825.4363
33.3,5.0,1,0,3,0,1063.0,942.3678
23.75,4.0,1,0,3,3,1253.0,921.4634
26.0,2.0,1,0,3,3,676.0,882.04614
19.25,2.0,1,0,3,3,806.0,828.24475
23.5,6.0,1,0,3,3,820.0,908.43646
30.95,2.0,1,0,4,1,820.0,1212.8184
15.4,6.0,1,0,4,0,820.0,794.46716
19.9,6.0,1,0,4,0,473.0,852.36475
17.4,5.0,1,0,4,0,756.0,806.9943
15.3,4.0,1,0,4,3,322.0,821.3515
